llm;tema;tamanho_medio;formalidade;giria_media;emoji_media;Complexidade de Leitura (Flesch-Kincaid);Riqueza Lexical (Variedade no vocab);Frequencia StopWords;Perplexidade
ChatGPT;Dolar;30.33;Informal;66.67%;100.00%;50.79;0.99;0.44;259.60
ChatGPT;CasasDeApostas;32.17;Formal;50.00%;100.00%;32.66;0.98;0.38;261.55
ChatGPT;Impostos;28.33;Formal;66.67%;100.00%;48.58;0.99;0.38;330.62
ChatGPT;Streaming;25.83;Formal;66.67%;100.00%;59.94;0.98;0.41;424.45
ChatGPT;InteligenciaArtificial;31.17;Informal;66.67%;100.00%;47.43;0.98;0.40;289.09
Cohere;Impostos;40.00;Formal;66.67%;0.00%;21.34;0.94;0.39;213.71
Cohere;Streaming;33.00;Formal;66.67%;0.00%;42.93;0.99;0.42;314.21
Cohere;CasasDeApostas;40.33;Formal;66.67%;0.00%;32.40;0.99;0.44;343.52
Cohere;Dolar;43.00;Formal;66.67%;0.00%;39.03;0.99;0.43;194.13
Cohere;InteligenciaArtificial;35.33;Formal;66.67%;0.00%;28.50;0.98;0.41;416.52
DeepSeek;Impostos;67.50;Formal;100.00%;16.67%;30.82;0.92;0.43;211.38
DeepSeek;Streaming;36.83;Formal;83.33%;0.00%;43.03;0.96;0.40;520.86
DeepSeek;Dolar;54.00;Formal;83.33%;0.00%;27.49;0.96;0.41;219.73
DeepSeek;CasasDeApostas;52.50;Formal;33.33%;0.00%;31.95;0.97;0.43;268.27
DeepSeek;InteligenciaArtificial;57.00;Formal;83.33%;0.00%;13.11;0.97;0.42;207.15
Gemini;Impostos;30.33;Formal;66.67%;100.00%;50.62;0.99;0.34;460.16
Gemini;InteligenciaArtificial;30.17;Informal;83.33%;100.00%;57.83;0.96;0.36;473.96
Gemini;Dolar;35.67;Formal;66.67%;100.00%;68.74;0.97;0.33;378.38
Gemini;Streaming;31.50;Formal;100.00%;100.00%;51.12;0.97;0.29;560.29
Gemini;CasasDeApostas;37.00;Informal;83.33%;83.33%;47.50;0.97;0.36;473.82
Llama;CasasDeApostas;29.33;Formal;33.33%;0.00%;36.68;0.99;0.51;274.74
Llama;InteligenciaArtificial;33.33;Formal;66.67%;0.00%;38.00;0.99;0.50;317.33
Llama;Impostos;39.17;Formal;50.00%;0.00%;22.01;0.99;0.47;254.63
Llama;Streaming;31.00;Formal;83.33%;0.00%;37.83;1.00;0.49;427.89
Llama;Dolar;25.00;Formal;0.00%;0.00%;37.78;1.00;0.52;425.98
MaritacaIA;CasasDeApostas;49.17;Informal;83.33%;16.67%;20.26;0.98;0.40;266.10
MaritacaIA;Dolar;41.17;Formal;83.33%;50.00%;43.55;0.96;0.39;264.46
MaritacaIA;InteligenciaArtificial;44.67;Informal;100.00%;16.67%;41.66;0.95;0.41;255.84
MaritacaIA;Streaming;43.33;Informal;100.00%;33.33%;38.17;0.97;0.34;337.30
MaritacaIA;Impostos;45.83;Informal;83.33%;50.00%;33.30;0.97;0.33;333.07
Mistral;Streaming;19.83;Formal;66.67%;66.67%;57.64;0.99;0.34;407.80
Mistral;InteligenciaArtificial;29.50;Formal;33.33%;0.00%;45.26;0.97;0.42;404.08
Mistral;CasasDeApostas;28.67;Formal;16.67%;0.00%;32.72;0.97;0.37;316.18
Mistral;Impostos;20.83;Formal;66.67%;50.00%;44.98;0.97;0.36;286.85
Mistral;Dolar;28.17;Formal;50.00%;16.67%;39.83;0.99;0.44;244.80
